date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:48	26488/26488	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:34:48%20GMT	http://sweethome.marstheme.com/ptype/house/page/2/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/ptype/house/page/2/index.html	(from http://sweethome.marstheme.com/ptype/house/)
16:34:49	939/939	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/property/1141-14th-street-south-2/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/1141-14th-street-south-2/feed/index.html	(from http://sweethome.marstheme.com/property/1141-14th-street-south-2/)
16:34:51	939/939	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/property/1141-14th-street-south-3/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/1141-14th-street-south-3/feed/index.html	(from http://sweethome.marstheme.com/property/1141-14th-street-south-3/)
16:34:51	95168/95168	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202014%2010:04:46%20GMT	http://sweethome.marstheme.com/wp-content/uploads/2014/06/09_agent-photo2.png	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/uploads/2014/06/09_agent-photo2.png	(from http://sweethome.marstheme.com/property/6571-mill-creek-cir-2/)
16:34:51	896/896	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/agent/elton-smith/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/agent/elton-smith/feed/index.html	(from http://sweethome.marstheme.com/agent/elton-smith/)
16:34:54	900/900	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/agent/john-nguyen-2/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/agent/john-nguyen-2/feed/index.html	(from http://sweethome.marstheme.com/agent/john-nguyen-2/)
16:34:54	40707/40707	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:34:54%20GMT	http://sweethome.marstheme.com/property/?ofagent=56	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/indexbac3.html	(from http://sweethome.marstheme.com/agent/elton-smith/)
16:34:54	26118/26118	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:34:55%20GMT	http://sweethome.marstheme.com/property/?ofagent=55	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/index4f30.html	(from http://sweethome.marstheme.com/agent/john-nguyen-2/)
16:34:57	900/900	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/agent/robb-hatman-2/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/agent/robb-hatman-2/feed/index.html	(from http://sweethome.marstheme.com/agent/robb-hatman-2/)
16:34:57	900/900	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/agent/robb-hatman-3/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/agent/robb-hatman-3/feed/index.html	(from http://sweethome.marstheme.com/agent/robb-hatman-3/)
16:34:57	24379/24379	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:34:57%20GMT	http://sweethome.marstheme.com/property/?ofagent=54	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/index7fbe.html	(from http://sweethome.marstheme.com/agent/robb-hatman-2/)
16:35:00	24379/24379	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:35:00%20GMT	http://sweethome.marstheme.com/property/?ofagent=53	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/index5ec3.html	(from http://sweethome.marstheme.com/agent/robb-hatman-3/)
16:35:00	878/878	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/agent/faton/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/agent/faton/feed/index.html	(from http://sweethome.marstheme.com/agent/faton/)
16:35:01	28856/28856	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:35:01%20GMT	http://sweethome.marstheme.com/property/?ofagent=52	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/index0ae4.html	(from http://sweethome.marstheme.com/agent/faton/)
16:35:01	673641/673641	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202014%2010:16:19%20GMT	http://sweethome.marstheme.com/wp-content/uploads/2014/06/39_slide-n1-770x481.png	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-content/uploads/2014/06/39_slide-n1-770x481.png	(from http://sweethome.marstheme.com/property/6571-mill-creek-cir/)
16:35:03	896/896	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/agent/toan-nguyen/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/agent/toan-nguyen/feed/index.html	(from http://sweethome.marstheme.com/agent/toan-nguyen/)
16:35:03	24379/24379	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2019:35:03%20GMT	http://sweethome.marstheme.com/property/?ofagent=51	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/property/index678e.html	(from http://sweethome.marstheme.com/agent/toan-nguyen/)
16:35:03	1018/1018	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/lorem-ipsum-dolor-sit-amet-consectetur-adipiscing-elit-2/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/lorem-ipsum-dolor-sit-amet-consectetur-adipiscing-elit-2/feed/index.html	(from http://sweethome.marstheme.com/lorem-ipsum-dolor-sit-amet-consectetur-adipiscing-elit-2/)
16:35:04	1030/1030	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-5/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-5/feed/index.html	(from http://sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-5/)
16:35:04	1008/1008	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Apr%202015%2001:39:00%20GMT	http://sweethome.marstheme.com/wp-includes/images/smilies/simple-smile.png	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/wp-includes/images/smilies/simple-smile.png	(from http://sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-2/)
16:35:05	990/990	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/nam-consequat-sapien-ac-magna-cursus-molestie-4/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/nam-consequat-sapien-ac-magna-cursus-molestie-4/feed/index.html	(from http://sweethome.marstheme.com/nam-consequat-sapien-ac-magna-cursus-molestie-4/)
16:35:06	1030/1030	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-6/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-6/feed/index.html	(from http://sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-6/)
16:35:06	4757/4757	---MCZ	200	added ('OK')	text/xml	etag:W/%22b256311413fc2173f35d4b2792feb691%22	http://sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-2/feed/	C:/Meus%20Sites/http___sweethome.marstheme.com_/sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-2/feed/index.html	(from http://sweethome.marstheme.com/pellentesque-sit-amet-feugiat-nunc-praesent-porta-volutpat-2/)
